timestamp_utc,pm1_0,pm2_5,pm10,aqi_api,aqi_sensor
2026-02-24T16:04:04Z,46,65,66,62,156
2026-02-24T16:09:04Z,47,66,71,62,156
2026-02-24T16:14:05Z,43,61,62,62,154
2026-02-24T16:19:05Z,47,66,68,62,156
2026-02-24T16:24:06Z,44,62,64,62,154
2026-02-24T16:29:06Z,47,69,72,62,158
2026-02-24T16:34:07Z,49,68,69,62,157
2026-02-24T16:39:07Z,49,67,71,62,157
2026-02-24T16:44:08Z,51,70,71,62,158
2026-02-24T16:49:09Z,47,65,68,62,156
2026-02-24T16:54:09Z,48,66,69,62,156
2026-02-24T16:59:10Z,50,72,75,62,160
2026-02-24T17:04:10Z,48,66,67,62,156
2026-02-24T17:09:11Z,47,68,70,62,157
2026-02-24T17:14:11Z,48,69,71,62,158
2026-02-24T17:19:12Z,50,73,75,62,160
2026-02-24T17:24:12Z,43,62,63,62,154
2026-02-24T17:29:13Z,40,58,59,62,152
2026-02-24T17:34:13Z,36,51,55,62,139
2026-02-24T17:39:15Z,38,54,56,62,147
2026-02-24T17:44:15Z,45,59,60,62,153
2026-02-24T17:49:16Z,38,53,55,62,144
2026-02-24T17:54:16Z,41,58,60,62,152
2026-02-24T17:59:17Z,47,66,68,62,156
2026-02-24T18:04:17Z,53,73,73,62,160
2026-02-24T18:09:18Z,50,67,70,62,157
2026-02-24T18:14:18Z,52,76,78,62,162
2026-02-24T18:19:19Z,46,63,64,62,155
2026-02-24T18:24:19Z,45,63,65,62,155
2026-02-24T18:29:20Z,49,67,70,62,157
2026-02-24T18:34:20Z,49,68,70,62,157
2026-02-24T18:39:21Z,49,69,73,61,158
2026-02-24T18:44:21Z,56,78,80,61,163
2026-02-24T18:49:22Z,47,71,73,61,159
2026-02-24T18:54:22Z,46,66,70,61,156
2026-02-24T18:59:23Z,38,53,57,61,144
2026-02-24T19:04:23Z,31,45,46,61,124
2026-02-24T19:09:24Z,27,34,37,61,97
2026-02-24T19:14:24Z,32,45,46,61,124
2026-02-24T19:19:25Z,34,51,51,61,139
2026-02-24T19:24:26Z,36,50,53,61,137
2026-02-24T19:29:26Z,34,47,48,61,129
2026-02-24T19:34:27Z,29,42,43,61,117
2026-02-24T19:39:27Z,24,35,37,61,99
2026-02-24T19:44:28Z,24,35,36,61,99
2026-02-24T19:49:29Z,27,36,37,61,102
2026-02-24T19:54:29Z,27,38,38,61,107
2026-02-24T19:59:30Z,25,34,35,61,97
2026-02-24T20:04:30Z,23,32,33,61,93
2026-02-24T20:09:31Z,25,34,35,61,97
2026-02-24T20:14:31Z,23,30,31,61,89
2026-02-24T20:19:32Z,20,25,25,61,78
2026-02-24T20:24:33Z,22,29,30,61,87
2026-02-24T20:29:33Z,21,29,30,61,87
2026-02-24T20:34:34Z,22,28,31,61,84
2026-02-24T20:39:34Z,21,28,28,61,84
2026-02-24T20:44:35Z,16,24,26,61,76
2026-02-24T20:49:36Z,17,24,24,61,76
2026-02-24T20:54:36Z,20,27,27,61,82
2026-02-24T20:59:37Z,17,23,24,61,74
2026-02-24T21:04:37Z,17,23,23,61,74
2026-02-24T21:09:38Z,11,20,23,61,68
2026-02-24T21:14:38Z,11,21,22,61,70
2026-02-24T21:19:39Z,14,23,24,61,74
2026-02-24T21:24:39Z,14,22,23,61,72
2026-02-24T21:29:40Z,16,25,25,61,78
2026-02-24T21:34:41Z,15,23,24,61,74
2026-02-24T21:39:42Z,20,25,27,64,78
2026-02-24T21:44:42Z,20,25,29,64,78
2026-02-24T21:49:43Z,22,28,29,64,84
2026-02-24T21:54:43Z,22,28,29,64,84
2026-02-24T21:59:44Z,20,27,28,64,82
2026-02-24T22:04:45Z,22,30,31,64,89
2026-02-24T22:09:45Z,23,31,32,64,91
2026-02-24T22:14:46Z,23,32,33,64,93
2026-02-24T22:19:46Z,22,29,30,64,87
2026-02-24T22:24:47Z,22,30,31,64,89
2026-02-24T22:29:47Z,23,30,32,64,89
2026-02-24T22:34:48Z,21,28,29,64,84
2026-02-24T22:39:48Z,23,31,32,64,91
2026-02-24T22:44:49Z,22,28,31,64,84
2026-02-24T22:49:49Z,22,28,29,64,84
2026-02-24T22:54:50Z,22,29,31,64,87
2026-02-24T22:59:51Z,23,31,34,64,91
